Price,Open,High,Low,Close,Volume
Ticker,VOO,VOO,VOO,VOO,VOO
Date,,,,,
2020-01-02,273.2757877796202,274.34208972546,272.4025147909066,274.31451416015625,3142400
2020-01-03,271.3730105649939,273.3401331642465,271.20755716039923,272.31060791015625,3247900
2020-01-06,270.63767670925756,273.3953460017599,270.5733243598415,273.33099365234375,2777100
2020-01-07,272.8437309165838,273.25736436434676,272.145112579311,272.5771484375,2251800
2020-01-08,272.74256423062695,275.13254890290074,272.52195975555435,273.9835205078125,3719500
2020-01-09,275.5187758452545,275.9416106564412,274.93045954058994,275.87725830078125,2168500
2020-01-10,276.44713260739337,276.5574348856089,274.654664481468,275.0867004394531,3666800
2020-01-13,275.6841536040816,276.98026130779533,275.2888944749054,276.9067077636719,2728000
2020-01-14,276.5850710072114,277.5226685346755,276.0611070716588,276.5390930175781,2620100
2020-01-15,276.51147041842665,277.88110372170763,276.40116814600935,277.1549377441406,2822300
2020-01-16,278.46948559945463,279.4806367559002,278.2580541591403,279.471435546875,2582600
2020-01-17,280.1515693443558,280.5468565340951,279.62763358090666,280.41815185546875,2218000
2020-01-21,279.5173775984542,280.5653055089592,279.4438520857271,279.839111328125,2757900
2020-01-22,280.6479954144952,281.2087360787851,279.7379735449888,279.9126281738281,2765300
2020-01-23,279.29667665838286,280.33540300179124,278.2120003919296,280.1883239746094,2673100
2020-01-24,280.749145011544,280.84104488398185,276.5115117300003,277.6329650878906,3448200
2020-01-27,272.8621621588328,274.5995071589907,272.5036797627045,273.2206726074219,4302000
2020-01-28,274.5719625358772,276.88839474470205,274.13072533075933,276.18060302734375,3562500
2020-01-29,277.40318454099395,277.5502636237261,275.693442802608,275.90484619140625,2739400
2020-01-30,273.9651804144694,276.95265461531255,273.28493644383906,276.768798828125,4432700
2020-01-31,276.17136300265184,276.3184420503522,270.9134062703206,271.8050537109375,6184700
2020-02-03,273.1195608389891,275.4635965570607,273.03683412693425,273.7814025878906,3205200
2020-02-04,277.14573967818046,278.7360055967784,276.8332072186363,278.0006103515625,2292800
2020-02-05,280.730686591227,281.3557514719218,279.32427658343465,281.14434814453125,3049900
2020-02-06,282.01767857190856,282.2750599567916,281.1076565418695,282.1004333496094,1925500
2020-02-07,281.1259628266642,281.8245812960749,280.12401310485484,280.6663513183594,2249000
2020-02-10,279.80241979694887,282.7163422198021,279.7656430068343,282.6795654296875,2246900
2020-02-11,283.9755284379598,284.67414683024344,282.76214745740083,283.1941833496094,2438800
2020-02-12,284.5547621299008,285.207402817352,284.1962796306557,285.0143737792969,2115800
2020-02-13,283.6722841511666,285.62103284004434,283.4516515082515,284.73858642578125,2043400
2020-02-14,285.06024195774273,285.2624721475689,284.039917853934,285.2165222167969,1637000
2020-02-18,284.260495542119,284.7936605614844,283.1482436294166,284.4351501464844,3000300
2020-02-19,285.3452285676526,286.42070381563144,285.0694448240332,285.8048400878906,2257500
2020-02-20,285.28083889701867,286.0529827836985,281.8981052832433,284.683349609375,4617300
2020-02-21,283.39642680828734,283.6538081144997,280.9329160127605,281.7326354980469,2678000
2020-02-24,272.9724495809941,275.1969815462285,271.3270606367596,272.31060791015625,7097000
2020-02-25,273.68035129059905,274.13996292058545,263.2287592606351,264.1296081542969,8465800
2020-02-26,265.29699546126375,268.67055696328316,262.4198503965981,262.9621887207031,10233700
2020-02-27,257.90642673644425,261.50059235178657,251.2788081203524,251.30641174316406,14897000
2020-02-28,243.88827633845668,250.87437741481898,241.06625472688935,249.7896728515625,23179600
2020-03-02,251.86712259021107,261.09613011937387,248.64064061965811,260.9398498535156,12428600
2020-03-03,261.3718330745712,265.0303502742315,251.27875564741547,253.74229431152344,9805900
2020-03-04,258.5131258152584,264.4145224832894,256.18749246463915,264.2582702636719,5253900
2020-03-05,257.65828451866616,260.51708362164885,253.34712491799706,255.4062042236328,6220000
2020-03-06,247.56519980355225,252.2899924804343,245.06491156889973,251.12258911132812,6669100
2020-03-09,233.38153140115384,239.9080064110396,230.86285528323077,231.7453155517578,16425900
2020-03-10,240.56334649117122,243.6387176513672,230.88465174377404,243.6387176513672,10879100
2020-03-11,237.03536684258972,238.01431528242648,228.6865718954554,231.55877685546875,11480100
2020-03-12,216.97613625234345,225.04785367905475,208.54422528421554,209.16299438476562,24669300
2020-03-13,222.25878321257272,228.83437295388836,210.65914167660173,228.705078125,19533600
2020-03-16,205.81051562049166,216.8190904562778,201.46064403059947,201.85777282714844,17271500
2020-03-17,206.64172835136415,216.06181773041848,200.0384340654592,215.07363891601562,15115500
2020-03-18,199.55817690755916,207.5560227432628,192.38227967488243,203.3169708251953,20177500
2020-03-19,201.72850030654823,208.71969325636857,195.8917445309767,203.49246215820312,12441200
2020-03-20,205.76436666109618,207.38978923769272,193.9892515848207,194.62649536132812,11533200
2020-03-23,193.60135023797113,194.66341371141934,185.21562026750178,188.65118408203125,14128200
2020-03-24,199.84446547008199,207.14965729123534,198.4037478809552,206.64170837402344,13160800
2020-03-25,207.796124003553,217.5025067671936,203.47397138847583,209.29225158691406,11876400
2020-03-26,211.73964774033448,222.97910810267078,211.351763312861,221.87086486816406,12411100
2020-03-27,214.90739099077268,221.31674998394854,213.02337878402133,215.05516052246094,11170600
2020-03-30,216.95761332447785,222.66508728268238,215.15671647798467,222.00936889648438,8727800
2020-03-31,221.14123739210743,223.44085277272683,217.43785397812087,218.71234130859375,10386300
2020-04-01,210.49286696002244,213.38354661373896,206.99266268235309,208.8582000732422,13710100
2020-04-02,208.10092333007438,214.4271533394228,207.5375643045805,213.74374389648438,6547000
2020-04-03,212.81093706971524,214.9166174906658,208.11013020959433,210.58522033691406,5490200
2020-04-06,218.84166189661696,226.54396864494336,217.89040439541444,224.9093017578125,7624000
2020-04-07,232.65776383761477,233.4704820405739,224.8446378121699,225.0293426513672,12936600
2020-04-08,227.41208612419373,233.7013799706539,225.38953490299872,232.66700744628906,6958600
2020-04-09,235.6131142892834,238.63310292322285,233.78451218606267,236.12106323242188,8812600
2020-04-13,235.16981633084993,235.45611097855743,230.3120094464686,233.8306884765625,7666400
2020-04-14,238.49453084953845,241.62533933670724,237.54328749090504,240.96963500976562,6631100
2020-04-15,235.57618371660993,237.2570163263431,233.75681188754086,235.7239532470703,4888900
2020-04-16,236.89683784069018,237.62641286512044,234.02461883564254,236.91529846191406,6165700
2020-04-17,242.25337548775138,243.81415776758712,239.65823462382141,243.45396423339844,6738800
2020-04-20,239.79671129475582,242.9829296680275,238.8085185605351,239.06710815429688,6498700
2020-04-21,234.8096270252098,235.95481965985707,230.8845890120057,231.76194763183594,6526100
2020-04-22,236.268829788449,238.48533039642888,235.0220473157055,236.85989379882812,5626800
2020-04-23,238.04201433143098,240.95115455354872,236.61054113481637,236.813720703125,7665400
2020-04-24,238.27285181554595,240.76641618960068,236.3703654084948,240.24923706054688,4768200
2020-04-27,241.9763438178175,244.6545999683859,241.56998460223775,243.72181701660156,3892200
2020-04-28,247.02803244964,247.31432706538052,242.24408267791492,242.59503173828125,5849500
2020-04-29,247.489824824361,250.2789005812214,246.5016319951384,248.84742736816406,6773100
2020-04-30,247.582173660676,248.04394288266516,244.95011164266313,246.6771240234375,7386600
2020-05-01,242.0963972236798,242.75210167065075,238.95634375942325,239.9537811279297,4790700
2020-05-04,238.19900382229048,240.9511298385409,236.91527209416316,240.71102905273438,4128900
2020-05-05,243.30622068232108,245.4857579385315,242.52120734764426,242.9275665283203,4437200
2020-05-06,244.46982075468756,244.83923044579512,241.172810372796,241.2928466796875,3021400
2020-05-07,244.22970391432455,245.93822714649033,243.7217409612839,244.1465606689453,3410200
2020-05-08,247.07418437700005,248.5610956001041,246.01212103715454,248.22860717773438,3201100
2020-05-11,246.3815531495789,249.540066621253,246.05830909908562,248.2655792236328,3469300
2020-05-12,249.33692636482343,249.72479673923206,243.19537298983172,243.26927185058594,5159900
2020-05-13,242.77051664596215,243.72175999986084,236.75827309010677,238.956298828125,5617500
